id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour,Kalani West,r&b,romantic,0.55,92,0.78,0.67,0.45
12,Rain on Glass,Mira Cole,classical,melancholic,0.22,58,0.38,0.35,0.95
13,Drop It Low,Flex City,hip-hop,energetic,0.85,96,0.72,0.91,0.08
14,Wildflower Road,June & The Drifters,country,peaceful,0.48,104,0.74,0.61,0.82
15,Bass Ritual,Dusk Protocol,electronic,intense,0.96,140,0.33,0.89,0.03
16,Hollow Bones,Ember Tide,folk,sad,0.30,84,0.42,0.44,0.91
17,Toma el Sol,Ritmo Libre,latin,uplifting,0.79,128,0.88,0.87,0.12
18,Velvet Soul,The Soulcraft,soul,relaxed,0.52,88,0.69,0.58,0.72
